0037;Alolan Vulpix;Fox Pokemon;In hot weather, this Pokémon makes ice shards with its six tails and sprays them around to cool itself off. They live together in a skulk, helping one another. Before eating their prey, they freeze it solid with their −58 degree Fahrenheit breath.
0038;Ninetales;Fox Pokemon;It has nine long tails and fur that gleams gold. It is said to live for 1,000 years. Some legends claim that each of its nine tails has its own unique type of special mystical power.
0038;Alolan Ninetales;Fox Pokemon;Possessing a calm demeanor, this Pokémon was revered as a deity incarnate before it was identified as a regional variant of Ninetales. It creates drops of ice in its coat and showers them over its enemies. Anyone who angers it will be frozen stiff in an instant.
0039;Jigglypuff;Balloon Pokemon;When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep. If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.
0040;Wigglytuff;Balloon Pokemon;It has a very fine fur. The rich, fluffy fur that covers its body feels so good that anyone who feels it can’t stop touching it. Take care not to make it angry, or it may inflate steadily and hit with a body slam.
0041;Zubat;Bat Pokemon;Zubat lives in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep. It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.
0042;Golbat;Bat Pokemon;It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered. Its feet are tiny, but this Pokémon walks skillfully. It sneaks up on sleeping prey before sinking in its fangs and slurping up blood.
0043;Oddish;Weed Pokemon;Its scientific name is Oddium wanderus. It is said to cover distances as far as 1,000 feet when night falls, walking on its two roots. When it is woken by moonlight, it wanders about. But during the day, it stays still underground. 
0044;Gloom;Weed Pokemon;The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey. It secretes a sticky, drool-like nectar. Though sweet, it smells too repulsive to get very close.
0045;Vileplume;Flower Pokemon;The bud bursts into bloom with a bang. It then fiendishly scatters allergenic, poisonous pollen from its petals, which are the largest in the world.
0046;Paras;Mushroom Pokemon;Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
0047;Parasect;Mushroom Pokemon;The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
0048;Venonat;Insect Pokemon;Its eyes act as radar, enabling it to be active in darkness. The eyes can also shoot powerful beams. Poison oozes from all over its body. It catches small bug Pokémon at night that are attracted by light.
0049;Venomoth;Poison PokemonMoth Pokemon;The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust. When it attacks, it flaps its large wings violently to scatter its poisonous powder all around.
0050;Diglett;Mole Pokemon;It lives about one yard underground, where it feeds on plant roots. It sometimes appears aboveground. Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.
0050;Alolan Diglett; Mole Pokemon;The things growing from its head are whiskers that have become metallic. Diglett communicates with its comrades by waving them. Its golden whiskers also function as sensors. It pokes them out of its burrow to monitor its surroundings.
0051;Dugtrio;Mole Pokemon;Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow. In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.
0051;Alolan Dugtrio;Mole Pokemon;Its shining gold whiskers are advanced sensors that can detect vibrations from sounds several miles away. Its metallic whiskers are heavy, so it’s not very fast, but it has the power to dig through even the hardest bedrock.
0052;Meowth;Scratch Cat Pokemon;Meowth loves things that sparkle. When it sees a shiny object, the gold coin on its head shines, too. All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.
0052;Alolan Meowth;Scratch Cat Pokemon;Deeply proud and keenly smart, this Pokémon moves with cunning during battle and relentlessly attacks enemies’ weak points. It’s accustomed to luxury because it used to live with Alolan royalty. As a result, it’s very picky about food.
0052;Galarian Meowth;Scratch Cat Pokemon;These daring Pokémon have coins on their foreheads. Darker coins are harder, and harder coins garner more respect among Meowth. Living with a savage, seafaring people has toughened this Pokémon’s body so much that parts of it have turned to iron.
0053;Persian;Classy Cat Pokemon;It has a vicious temperament. Beware if it raises its tail straight up. This is a signal that it is about to pounce and bite. Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.
0053;Alolan Persian;Classy Cat Pokemon;This Pokémon is one tough opponent. Not only does it have formidable physical abilities, but it’s also not above fighting dirty. The round face of Alolan Persian is considered to be a symbol of prosperity in the Alola region, so these Pokémon are very well cared for.
0054;Psyduck;Duck Pokemon;It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers. It seems unable to recall such an episode.
0055;Golduck;Duck Pokemon;It swims gracefully along on the quiet, slow-moving rivers and lakes of which it is so fond. When it swims at full speed using its long, webbed limbs, its forehead somehow begins to glow.
0056;Mankey;Pig Monkey Pokemon;It is extremely quick to anger. It could be docile one moment, then thrashing away the next instant. It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.
0057;Primeape;Pig Monkey Pokemon;It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare. Some researchers theorize that Primeape remains angry even when inside a Poké Ball.
0058;Growlithe;Puppy Pokemon;It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes. It’s very friendly and faithful to people. It will try to repel enemies by barking and biting.
0058;Hisuian Growlithe;Scout Pokemon;They patrol their territory in pairs. It's believed the igneous rock components in the fur of this species are the result of volcanic activity in its habitat.
0059;Arcanine;Legendary Pokemon;Its magnificent bark conveys a sense of majesty. Anyone hearing it can’t help but grovel before it. An ancient picture scroll shows that people were captivated by its movement as it ran through prairies.
0059;Hisuian Arcanine;Legendary Pokemon;Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.
0060;Poliwag;Tadpole Pokemon;Its legs are newly grown, and it can’t walk very well. It seems to prefer swimming through the water instead. The swirl on its belly is its insides showing through the skin. It appears more clearly after Poliwag eats.
0061;Poliwhirl;Tadpole Pokemon;Its skin is moist all over its body. The skin on its belly spiral also feels smooth. Its two legs are well developed. Even though it can live on the ground, it prefers living in water. 
0062;Poliwrath;Tadpole Pokemon;It can use its well-developed arms and legs to run on the surface of the water for a split second. Although it’s skilled in a style of dynamic swimming that uses all its muscles, for some reason it lives on dry land.
0063;Abra;Psi Pokemon;This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields. Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go.
0064;Kadabra;Psi Pokemon;This Pokémon’s telekinesis is immensely powerful. To prepare for evolution, Kadabra stores up psychic energy in the star on its forehead. Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.
0065;Alakazam;Psi Pokemon;Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds. It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.
0066;Machop;Superpower Pokemon;Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups. Always brimming with power, it passes time by lifting boulders. Doing so makes it even stronger.
0067;Machoke;Superpower Pokemon;Its formidable body never gets tired. It helps people by doing work such as the moving of heavy goods. Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.
0068;Machamp;Superpower Pokemon;It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds. It can knock a train flying with a punch. However, it is terrible at delicate work using its fingers.
0069;Bellsprout;Flower Pokemon;It plants its feet deep underground to rehydrate itself. While doing so, it’s unable to run away if it’s attacked. No matter what Bellsprout is doing, if it detects movement nearby, it will immediately react by reaching out with its thin vines.
0070;Weepinbell;Flycatcher Pokemon;The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything. Even though it is filled with acid, it does not melt because it also oozes a protective fluid.
0071;Victreebel;Flycatcher Pokemon;It lures prey into its mouth with a nectar-like aroma. The helpless prey is melted with a dissolving fluid. After dissolving many prey, this Pokémon’s acid becomes sweeter. This makes it even easier to attract more prey.
0072;Tentacool;Jellyfish Pokemon;Its eyes are as transparent as crystals. From them, it shoots mysterious beams of light. When the tide goes out, dehydrated Tentacool can be found left behind on the shore.
0073;Tentacruel;Jellyfish Pokemon;In battle, it extends all 80 of its tentacles to entrap its opponent inside a poisonous net. On the rare occasions that large outbreaks of Tentacruel occur, all fish Pokémon disappear from the surrounding sea.
0074;Geodude;Rock Pokemon;Most people may not notice, but a closer look should reveal that there are many Geodude around. At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.
0074;Alolan Geodude;Rock Pokemon;Its body is a magnetic stone. Iron sand attaches firmly to the portions of its body that are particularly magnetic. If you step on a Geodude sleeping on the ground, you’ll hear a zapping sound and feel a tingling shock throughout your entire body.
0075;Graveler;Rock Pokemon;A slow walker, it rolls to move. It pays no attention to any object that happens to be in its path. Moss-covered rocks are Graveler’s favorite food. It consumes over a ton of them a day, crunching loudly while it eats.
0075;Alolan Graveler;Rock Pokemon;Graveler’s entire body is electrically charged due to the stones it likes to eat. It is a very quick-tempered Pokémon. They eat rocks and often get into a scrap over them. The impact of Graveler smashing together causes a flash of light and a booming noise.
0076;Golem;Megaton Pokemon;It is enclosed in a hard shell that is as rugged as slabs of rock. It sheds skin once a year to grow larger. It is enclosed in a hard shell that is as rugged as slabs of rock. It sheds skin once a year to grow larger.
0076;Alolan Golem;Megaton Pokemon;It fires rocks charged with electricity. Even if the rock isn’t fired that accurately, just grazing an opponent will cause numbness and fainting. It’s grumpy and stubborn. If you upset it, it discharges electricity from the surface of its body and growls with a voice like thunder. 
0077;Ponyta;Fire Horse Pokemon;About an hour after birth, Ponyta’s fiery mane and tail grow out, giving the Pokémon an impressive appearance. Its legs grow strong while it chases after its parents. It runs all day in fields and on mountains.
0077;Galarian Ponyta;Unique Horn Pokemon;This Pokémon will look into your eyes and read the contents of your heart. If it finds evil there, it promptly hides away. Its small horn hides a healing power. With a few rubs from this Pokémon’s horn, any slight wound you have will be healed.
0078;Rapidash;Fire Horse Pokemon;It has astounding acceleration. From a standstill, it can reach top speed within 10 steps. It gallops at nearly 150 mph. With its mane blazing ferociously, it races as if it were an arrow.
0078;Galarian Rapidash;Unique Horn Pokemon;Brave and prideful, this Pokémon dashes airily through the forest, its steps aided by the psychic power stored in the fur on its fetlocks. Little can stand up to its psycho cut. Unleashed from this Pokémon’s horn, the move will punch a hole right through a thick metal sheet.
0079;Slowpoke;Dopey Pokemon;It is incredibly slow and dopey. It takes five seconds for it to feel pain when under attack. It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.
0079;Galarian Slowpoke;Dopey Pokemon;It uses its tail to fish, but the scent of the spice emanating from its tail ensures its catches are always lacking. It gives off a stimulating scent because of chemicals that have seeped into its body from the spice that it eats as its staple food.
0080;Slowbro;Hermit Crab Pokemon;When a Slowpoke went hunting in the sea, its tail was bitten by a Shellder. That made it evolve into Slowbro. If the tail-biting Shellder is thrown off in a harsh battle, this Pokémon reverts to being an ordinary Slowpoke.
0080;Galarian Slowbro;Hermit Crab Pokemon;Shellder bites down hard on Slowbro’s arm to suck out more poison. This seems to cause itching, so Slowbro occasionally lashes out. Shellder seems blissful over the taste of Slowbro even though the toxins seeping from the bite have caused Shellder to faint.
0081;Magnemite;Magnet Pokemon;The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float. It moves while constantly hovering. It discharges electromagnetic waves and so on from the units at its sides.
0082;Magneton;Magnet Pokemon;They’re formed by several Magnemite linked together. They frequently appear when sunspots flare up. Three Magnemite are linked by a strong magnetic force. Earaches will occur if you get too close.
0083;Farfetch'd;Wild Duck Pokemon;It can’t live without the stalk it holds. That’s why it defends the stalk from attackers with its life.
0083;Galarian Farfetch'd;Wild Duck Pokemon;The stalks of leeks are thicker and longer in the Galar region. Farfetch’d that adapted to these stalks took on a unique form. The Farfetch’d of the Galar region are brave warriors, and they wield thick, tough leeks in battle.
0084;Doduo;Twin Bird Pokemon;Its twin heads have exactly the same genes and battle in perfect sync with each other. Its heads never sleep at the same time—each one takes a turn keeping watch while the other sleeps, switching every hour or so.
0085;Dodrio;Triple Bird Pokemon;It now has three hearts and three sets of lungs. Though it can’t run as fast as Doduo, Dodrio can keep running for longer stretches of time. The strongest head with the thickest neck becomes the leader and gains primary control of the body.
0086;Seel;Sea Lion Pokemon;The colder it gets, the better it feels. It joyfully swims around oceans so cold that they are filled with floating ice. The protrusion on its head is very hard. It is used for bashing through thick ice. 
0087;Dewgong;Sea Lion Pokemon;It stores thermal energy in its body to fend off the cold. It swims at eight knots even in frigid waters. It sleeps under shallow ocean waters during the day, then looks for food at night when it’s colder.
0088;Grimer;Sludge Pokemon;Born from sludge, these Pokémon now gather in polluted places and increase the bacteria in their bodies. When two of these Pokémon’s bodies are combined together, new poisons are created. 
0088;Alolan Grimer;Sludge Pokemon;Alolan Grimer will gladly gobble up any kind of trash, making it a widely used and popular Pokémon at garbage disposal facilities. They store their toxins inside their bodies, so unlike Grimer from other regions, they don’t smell bad even up close. 
0089;Muk;Sludge Pokemon;It’s so stinky! Muk’s body contains toxic elements, and any plant will wilt when it passes by. It’s thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.
0089;Alolan Muk;Sludge Pokemon;There are over a hundred kinds of poison inside its body. Chemical reactions between different poisons are the source of its vitality. What look like fangs and claws are actually crystallized poison that will afflict you at a mere touch, so don’t get too close. 
0090;Shellder;Bivalve Pokemon;It is encased in a shell that is harder than diamond. Inside, however, it is surprisingly tender. Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort.
0091;Cloyster;Bivalve Pokemon;Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells. When attacked, it launches its spikes in quick volleys. Its innards have never been seen.
0092;Gastly;Gas Pokemon;Its body is made of gas. Despite lacking substance, it can envelop an opponent of any size and cause suffocation. It wraps its opponent in its gas-like body, slowly weakening its prey by poisoning it through the skin.
0093;Haunter;Gas Pokemon;It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering. In total darkness, where nothing is visible, Haunter lurks, silently stalking its next victim.
0094;Gengar;Shadow Pokemon;Hiding in people’s shadows at night, it absorbs their heat. The chill it causes makes the victims shake. To steal the life of its target, it slips into the prey’s shadow and silently waits for an opportunity.
0095;Onix;Rock Snake Pokemon;As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid. It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.
0096;Drowzee;Hypnosis Pokemon;When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about. It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier.
0097;Hypno;Hypnosis Pokemon;Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby. When it locks eyes with an enemy, it will use a mix of psi moves, such as Hypnosis and Confusion.
0098;Krabby;River Crab Pokemon;It can be found near the sea. The large pincers grow back if they are torn out of their sockets. If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.
0099;Kingler;Pincer Pokemon;The larger pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim.
0100;Voltorb;Ball Pokemon;It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode. It’s usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people.
0100;Hisuian Voltorb;Sphere Pokemon;An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.
0101;Electrode;Ball Pokemon;The more energy it charges up, the faster it gets. But this also makes it more likely to explode. It explodes in response to even minor stimuli. It is feared, with the nickname of the Bomb Ball.
0101;Hisuian Electrode;Sphere Pokemon;The tissue on the surface of its body is curiously similar in composition to an Apricorn. When irritated, this Pokémon lets loose an electric current equal to 20 lightning bolts.
0102;Exeggcute;Egg Pokemon;Using telepathy only fellow Exeggcute can pick up on, they always form a cluster of six. If you touch one of Exeggcute’s heads, mistaking it for an egg, the other heads will quickly gather and attack you in a swarm.
0103;Exeggutor;Coconut Pokemon;It is said that on rare occasions, one of its heads will drop off and continue on as an Exeggcute. It is called the Walking Jungle. Each of the nuts has a face and a will of its own.
0103;Alolan Exeggutor;Coconut Pokemon;As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon. It swings its long neck like a whip and smacks its head into opponents. This makes Exeggutor itself a little dizzy too.
0104;Cubone;Lonely Pokemon;This Pokémon wears the skull of its deceased mother. Sometimes Cubone’s dreams make it cry, but each tear Cubone sheds makes it stronger. When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.
0105;Marowak;Bone Keeper Pokemon;When this Pokémon evolved, the skull of its mother fused to it. Marowak’s temperament also turned vicious at the same time. This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.
0105;Alolan Marowak;Bone Keeper Pokemon;This Pokémon sets the bone it holds on fire and dances through the night as a way to mourn its fallen allies. The cursed flames that light up the bone carried by this Pokémon are said to cause both mental and physical pain that will never fade.
0106;Hitmonlee;Kicking Pokemon;It has complete control over the ligaments in its legs, expanding and contracting them to double the reach of its kicks. At the exact moment it lands a kick on its target, Hitmonlee hardens the muscles on the sole of its foot, maximizing the power of the kick.
0107;Hitmonchan;Punching Pokemon;Its fists are masses of muscle. It takes a break every three minutes to steady its breath and mood. It corners its foes with combo punches from both sides, then finishes them off with a single straight punch launched at over 300 mph.
0108;Lickitung;Licking Pokemon;If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either. Bug Pokémon are Lickitung’s main food source. This Pokémon paralyzes its prey with a lick from its long tongue, then swallows the prey whole.
0109;Koffing;Poison Gas Pokemon;Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions. The poisonous gases it contains are a little bit lighter than air. That’s why it’s always slightly airborne.
0110;Weezing;Poison Gas Pokemon;When it inhales poisonous gases from garbage, its body expands, and its insides smell much worse. Top-grade perfume is made using its internal poison gases by diluting them to the highest level.
0110;Galarian Weezing;Poison Gas Pokemon;This Pokémon consumes particles that contaminate the air. Instead of leaving droppings, it expels clean air. Long ago, during a time when droves of factories fouled the air with pollution, Weezing changed into this form for some reason.
0111;Rhyhorn;Spikes Pokemon;Rhyhorn claims an area with over a six mile radius as its territory. It apparently forgets where this territory is when running, however. Once it starts running, it won’t stop—even if it crashes through boulders. This disposition is what’s caused its habitat to expand.
0112;Rhydon;Drill Pokemon;It evolved to walk using only its hind legs, which has allowed it to expand its habitat even onto steep mountains. The horn of a Rhydon is powerful enough to crush raw diamonds. These Pokémon polish their horns by bashing them together.
0113;Chansey;Egg Pokemon;This kindly Pokémon lays highly nutritious eggs and shares them with injured Pokémon or people. It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away.
0114;Tangela;Vine Pokemon;The vines of a Tangela have a distinct scent. In some parts of Galar, Tangela vines are used as herbs. Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.
0115;Kangaskhan;Parent Pokemon;Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs. There are records of a lost human child being raised by a childless Kangaskhan.
0116;Horsea;Dragon Pokemon;It maintains balance using its tail, which is wound up like a coil. It may spray ink from its mouth. If attacked—even by a large enemy—Horsea effortlessly swims to safety by utilizing its well-developed dorsal fin.
0117;Seadra;Dragon Pokemon;Its fin tips leak poison. Its fins and bones are highly valued as ingredients in herbal medicine. The male raises the young. If it is approached while caring for young, it will use its toxic spines to fend off the intruder.
0118;Goldeen;Goldfish Pokemon;Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots. Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.
0119;Seaking;Goldfish Pokemon;Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away. In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.
0120;Staryu;Star Shape Pokemon;Fish Pokémon nibble at it, but Staryu isn’t bothered. Its body regenerates quickly, even if part of it is completely torn off. If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.
0121;Starmie;Mysterious Pokemon;This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers. Starmie swims by spinning its body at high speed. As this Pokémon cruises through the ocean, it absorbs tiny plankton. 
0122;Mr. Mime;Barrier Pokemon;It is a pantomime expert that can create invisible but solid walls using miming gestures. Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.
0122;Galarian Mr. Mime;Dancing Pokemon;Its talent is tap-dancing. It can also manipulate temperatures to create a floor of ice, which this Pokémon can kick up to use as a barrier. It can radiate chilliness from the bottoms of its feet. It’ll spend the whole day tap-dancing on a frozen floor. 
0123;Scyther;Mantis Pokemon;It slashes through grass with its sharp scythes, moving too fast for the human eye to track. The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.
0124;Jynx;Human Shape Pokemon;The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base. In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.
0125;Electabuzz;Electric Pokemon;Research is progressing on storing lightning in Electabuzz so this energy can be used at any time. Its body constantly discharges electricity. Getting close to it will make your hair stand on end.
0126;Magmar;Spitfire Pokemon;Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit. Wavering flames similar to those of the sun appear on the surface of this Pokémon’s body.
