0001	Bulbasaur	Bulbasaur   Seed Pokémon	たねポケモン	Seed Pokémon
0083	Farfetch'd	Farfetch'd	Wild Duck Pokémon	かるがもポケモン	Spot-Billed Duck Pokémon
0084	Doduo	Doduo	Twin Bird Pokémon	ふたごどりポケモン	Twin Bird Pokémon
0085	Dodrio	Dodrio	Triple Bird Pokémon	みつごどりポケモン	Triplet Bird Pokémon
0086	Seel	Seel	Sea Lion Pokémon	あしかポケモン	Sea Lion Pokémon
0087	Dewgong	Dewgong	Sea Lion Pokémon	あしかポケモン	Sea Lion Pokémon
0088	Grimer	Grimer	Sludge Pokémon	ヘドロポケモン	Sludge Pokémon
0089	Muk	Muk	Sludge Pokémon	ヘドロポケモン	Sludge Pokémon
0090	Shellder	Shellder	Bivalve Pokémon	2まいがいポケモン	Bivalve Pokémon
0091	Cloyster	Cloyster	Bivalve Pokémon	2まいがいポケモン	Bivalve Pokémon
0092	Gastly	Gastly	Gas Pokémon	ガスじょうポケモン	Gaseous Pokémon
0093	Haunter	Haunter	Gas Pokémon	ガスじょうポケモン	Gaseous Pokémon
0094	Gengar	Gengar	Shadow Pokémon	シャドーポケモン	Shadow Pokémon
0095	Onix	Onix	Rock Snake Pokémon	いわへびポケモン	Rock Snake Pokémon
0096	Drowzee	Drowzee	Hypnosis Pokémon	さいみんポケモン	Hypnosis Pokémon
0097	Hypno	Hypno	Hypnosis Pokémon	さいみんポケモン	Hypnosis Pokémon
0098	Krabby	Krabby	River Crab Pokémon	さわがにポケモン	Freshwater Crab Pokémon
0099	Kingler	Kingler	Pincer Pokémon	はさみポケモン	Pincer Pokémon
0100	Voltorb	Voltorb	Ball Pokémon	ボールポケモン	Ball Pokémon
0100	Voltorb	Voltorb
Hisuian Form	Sphere Pokémon	きゅうたいポケモン	Sphere Pokémon
0101	Electrode	Electrode	Ball Pokémon	ボールポケモン	Ball Pokémon
0101	Electrode	Electrode
Hisuian Form	Sphere Pokémon	きゅうたいポケモン	Sphere Pokémon
0102	Exeggcute	Exeggcute	Egg Pokémon	たまごポケモン	Egg Pokémon
0103	Exeggutor	Exeggutor	Coconut Pokémon	やしのみポケモン	Coconut Pokémon
0104	Cubone	Cubone	Lonely Pokémon	こどくポケモン	Lonely Pokémon
0105	Marowak	Marowak	Bone Keeper Pokémon	ほねずきポケモン	Bone Lover Pokémon
0106	Hitmonlee	Hitmonlee	Kicking Pokémon	キックポケモン	Kick Pokémon
0107	Hitmonchan	Hitmonchan	Punching Pokémon	パンチポケモン	Punch Pokémon
0108	Lickitung	Lickitung	Licking Pokémon	なめまわしポケモン	Licking Pokémon
0109	Koffing	Koffing	Poison Gas Pokémon	どくガスポケモン	Poison Gas Pokémon
0110	Weezing	Weezing	Poison Gas Pokémon	どくガスポケモン	Poison Gas Pokémon
0111	Rhyhorn	Rhyhorn	Spikes Pokémon	とげとげポケモン	Spiky Pokémon
0112	Rhydon	Rhydon	Drill Pokémon	ドリルポケモン	Drill Pokémon
0113	Chansey	Chansey	Egg Pokémon	たまごポケモン	Egg Pokémon
0114	Tangela	Tangela	Vine Pokémon	ツルじょうポケモン	Vine Pokémon
0115	Kangaskhan	Kangaskhan	Parent Pokémon	おやこポケモン	Parent and Child Pokémon
0116	Horsea	Horsea	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0117	Seadra	Seadra	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0118	Goldeen	Goldeen	Goldfish Pokémon	きんぎょポケモン	Goldfish Pokémon
0119	Seaking	Seaking	Goldfish Pokémon	きんぎょポケモン	Goldfish Pokémon
0120	Staryu	Staryu	Star Shape Pokémon	ほしがたポケモン	Star Shape Pokémon
0121	Starmie	Starmie	Mysterious Pokémon	なぞのポケモン	Mysterious Pokémon
0122	Mr. Mime	Mr. Mime	Barrier Pokémon	バリアーポケモン	Barrier Pokémon
0122	Mr. Mime	Mr. Mime
Galarian Form	Dancing Pokémon	ダンスポケモン	Dance Pokémon
0123	Scyther	Scyther	Mantis Pokémon	かまきりポケモン	Mantis Pokémon
0124	Jynx	Jynx	Human Shape Pokémon	ひとがたポケモン	Humanoid Pokémon
0125	Electabuzz	Electabuzz	Electric Pokémon	でんげきポケモン	Electric Shock Pokémon
0126	Magmar	Magmar	Spitfire Pokémon	ひふきポケモン	Spitfire Pokémon
0127	Pinsir	Pinsir	Stag Beetle Pokémon	くわがたポケモン	Stag Beetle Pokémon
0128	Tauros	Tauros	Wild Bull Pokémon	あばれうしポケモン	Wild Bull Pokémon
0129	Magikarp	Magikarp	Fish Pokémon	さかなポケモン	Fish Pokémon
0130	Gyarados	Gyarados	Atrocious Pokémon	きょうあくポケモン	Atrocious Pokémon
0131	Lapras	Lapras	Transport Pokémon	のりものポケモン	Transport Pokémon
0132	Ditto	Ditto	Transform Pokémon	へんしんポケモン	Transformation Pokémon
0133	Eevee	Eevee	Evolution Pokémon	しんかポケモン	Evolution Pokémon
0134	Vaporeon	Vaporeon	Bubble Jet Pokémon	あわはきポケモン	Foam-Spitting Pokémon
0135	Jolteon	Jolteon	Lightning Pokémon	かみなりポケモン	Lightning Pokémon
0136	Flareon	Flareon	Flame Pokémon	ほのおポケモン	Flame Pokémon
0137	Porygon	Porygon	Virtual Pokémon	バーチャルポケモン	Virtual Pokémon
0138	Omanyte	Omanyte	Spiral Pokémon	うずまきポケモン	Spiral Pokémon
0139	Omastar	Omastar	Spiral Pokémon	うずまきポケモン	Spiral Pokémon
0140	Kabuto	Kabuto	Shellfish Pokémon	こうらポケモン	Shell Pokémon
0141	Kabutops	Kabutops	Shellfish Pokémon	こうらポケモン	Shell Pokémon
0142	Aerodactyl	Aerodactyl	Fossil Pokémon	かせきポケモン	Fossil Pokémon
0143	Snorlax	Snorlax	Sleeping Pokémon	いねむりポケモン	Dozing Pokémon
0144	Articuno	Articuno	Freeze Pokémon	れいとうポケモン	Freezing Pokémon
0144	Articuno	Articuno
Galarian Form	Cruel Pokémon	れいこくポケモン	Cruel Pokémon
0145	Zapdos	Zapdos	Electric Pokémon	でんげきポケモン	Electric Shock Pokémon
0145	Zapdos	Zapdos
Galarian Form	Strong Legs Pokémon	けんきゃくポケモン	Good Walker Pokémon
0146	Moltres	Moltres	Flame Pokémon	かえんポケモン	Flame Pokémon
0146	Moltres	Moltres
Galarian Form	Malevolent Pokémon	じゃあくポケモン	Evil Pokémon
0147	Dratini	Dratini	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0148	Dragonair	Dragonair	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0149	Dragonite	Dragonite	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0150	Mewtwo	Mewtwo	Genetic Pokémon	いでんしポケモン	Genetic Pokémon
0151	Mew	Mew	New Species Pokémon	しんしゅポケモン	New Species Pokémon
0152	Chikorita	Chikorita	Leaf Pokémon	はっぱポケモン	Leaf Pokémon
0153	Bayleef	Bayleef	Leaf Pokémon	はっぱポケモン	Leaf Pokémon
0154	Meganium	Meganium	Herb Pokémon	ハーブポケモン	Herb Pokémon
0155	Cyndaquil	Cyndaquil	Fire Mouse Pokémon	ひねずみポケモン	Fire Mouse Pokémon
0156	Quilava	Quilava	Volcano Pokémon	かざんポケモン	Volcano Pokémon
0157	Typhlosion	Typhlosion	Volcano Pokémon	かざんポケモン	Volcano Pokémon
0157	Typhlosion	Typhlosion
Hisuian Form	Ghost Flame Pokémon	おにびポケモン	Ghost Flame Pokémon
0158	Totodile	Totodile	Big Jaw Pokémon	おおあごポケモン	Big Jaw Pokémon
0159	Croconaw	Croconaw	Big Jaw Pokémon	おおあごポケモン	Big Jaw Pokémon
0160	Feraligatr	Feraligatr	Big Jaw Pokémon	おおあごポケモン	Big Jaw Pokémon
0161	Sentret	Sentret	Scout Pokémon	みはりポケモン	Lookout Pokémon
0162	Furret	Furret	Long Body Pokémon	どうながポケモン	Long Torso Pokémon
0163	Hoothoot	Hoothoot	Owl Pokémon	ふくろうポケモン	Owl Pokémon
0164	Noctowl	Noctowl	Owl Pokémon	ふくろうポケモン	Owl Pokémon
0165	Ledyba	Ledyba	Five Star Pokémon	いつつぼしポケモン	Five Star Pokémon
0166	Ledian	Ledian	Five Star Pokémon	いつつぼしポケモン	Five Star Pokémon
0167	Spinarak	Spinarak	String Spit Pokémon	いとはきポケモン	String-Spitting Pokémon
0168	Ariados	Ariados	Long Leg Pokémon	あしながポケモン	Long Leg Pokémon
0169	Crobat	Crobat	Bat Pokémon	こうもりポケモン	Bat Pokémon
0170	Chinchou	Chinchou	Angler Pokémon	あんこうポケモン	Anglerfish Pokémon
0171	Lanturn	Lanturn	Light Pokémon	ライトポケモン	Light Pokémon
0172	Pichu	Pichu	Tiny Mouse Pokémon	こねずみポケモン	Small Mouse Pokémon
0173	Cleffa	Cleffa	Star Shape Pokémon	ほしがたポケモン	Star Shape Pokémon
0174	Igglybuff	Igglybuff	Balloon Pokémon	ふうせんポケモン	Balloon Pokémon
0175	Togepi	Togepi	Spike Ball Pokémon	はりたまポケモン	Spike Ball Pokémon
0176	Togetic	Togetic	Happiness Pokémon	しあわせポケモン	Happiness Pokémon
0177	Natu	Natu	Tiny Bird Pokémon	ことりポケモン	Tiny Bird Pokémon
0178	Xatu	Xatu	Mystic Pokémon	せいれいポケモン	Spirit Pokémon
0179	Mareep	Mareep	Wool Pokémon	わたげポケモン	Fluff Pokémon
0180	Flaaffy	Flaaffy	Wool Pokémon	わたげポケモン	Fluff Pokémon
0181	Ampharos	Ampharos	Light Pokémon	ライトポケモン	Light Pokémon
0182	Bellossom	Bellossom	Flower Pokémon	フラワーポケモン	Flower Pokémon
0183	Marill	Marill	Aqua Mouse Pokémon	みずねずみポケモン	Water Mouse Pokémon
0184	Azumarill	Azumarill	Aqua Rabbit Pokémon	みずうさぎポケモン	Water Rabbit Pokémon
0185	Sudowoodo	Sudowoodo	Imitation Pokémon	まねポケモン	Imitation Pokémon
0186	Politoed	Politoed	Frog Pokémon	かえるポケモン	Frog Pokémon
0187	Hoppip	Hoppip	Cottonweed Pokémon	わたくさポケモン	Cottonweed Pokémon
0188	Skiploom	Skiploom	Cottonweed Pokémon	わたくさポケモン	Cottonweed Pokémon
0189	Jumpluff	Jumpluff	Cottonweed Pokémon	わたくさポケモン	Cottonweed Pokémon
0190	Aipom	Aipom	Long Tail Pokémon	おながポケモン	Long Tail Pokémon
0191	Sunkern	Sunkern	Seed Pokémon	たねポケモン	Seed Pokémon
0192	Sunflora	Sunflora	Sun Pokémon	たいようポケモン	Sun Pokémon
0193	Yanma	Yanma	Clear Wing Pokémon	うすばねポケモン	Thin Wing Pokémon
0194	Wooper	Wooper	Water Fish Pokémon	みずうおポケモン	Water Fish Pokémon
0194	Wooper	Wooper
Paldean Form	Poison Fish Pokémon	どくうおポケモン	Poison Fish Pokémon
0195	Quagsire	Quagsire	Water Fish Pokémon	みずうおポケモン	Water Fish Pokémon
0196	Espeon	Espeon	Sun Pokémon	たいようポケモン	Sun Pokémon
0197	Umbreon	Umbreon	Moonlight Pokémon	げっこうポケモン	Moonlight Pokémon
0198	Murkrow	Murkrow	Darkness Pokémon	くらやみポケモン	Darkness Pokémon
0199	Slowking	Slowking	Royal Pokémon	おうじゃポケモン	Monarch Pokémon
0199	Slowking	Slowking
Galarian Form	Hexpert Pokémon	じゅじゅつしポケモン	Shaman Pokémon
0200	Misdreavus	Misdreavus	Screech Pokémon	よなきポケモン	Night Cry Pokémon
0201	Unown	Unown	Symbol Pokémon	シンボルポケモン	Symbol Pokémon
0202	Wobbuffet	Wobbuffet	Patient Pokémon	がまんポケモン	Endurance Pokémon
0203	Girafarig	Girafarig	Long Neck Pokémon	くびながポケモン	Long Neck Pokémon
0204	Pineco	Pineco	Bagworm Pokémon	みのむしポケモン	Bagworm Pokémon
0205	Forretress	Forretress	Bagworm Pokémon	みのむしポケモン	Bagworm Pokémon
0206	Dunsparce	Dunsparce	Land Snake Pokémon	つちへびポケモン	Land Snake Pokémon
0207	Gligar	Gligar	Fly Scorpion Pokémon	とびさそりポケモン	Flying Scorpion Pokémon
0208	Steelix	Steelix	Iron Snake Pokémon	てつへびポケモン	Iron Snake Pokémon
0209	Snubbull	Snubbull	Fairy Pokémon	ようせいポケモン	Fairy Pokémon
0210	Granbull	Granbull	Fairy Pokémon	ようせいポケモン	Fairy Pokémon
0211	Qwilfish	Qwilfish	Balloon Pokémon	ふうせんポケモン	Balloon Pokémon
0212	Scizor	Scizor	Pincer Pokémon	はさみポケモン	Pincer Pokémon
0213	Shuckle	Shuckle	Mold Pokémon	はっこうポケモン	Fermentation Pokémon
0214	Heracross	Heracross	Single Horn Pokémon	1ぽんヅノポケモン	Single Horn Pokémon
0215	Sneasel	Sneasel	Sharp Claw Pokémon	かぎづめポケモン	Claw Pokémon
0216	Teddiursa	Teddiursa	Little Bear Pokémon	こぐまポケモン	Small Bear Pokémon
0217	Ursaring	Ursaring	Hibernator Pokémon	とうみんポケモン	Hibernation Pokémon
0218	Slugma	Slugma	Lava Pokémon	ようがんポケモン	Lava Pokémon
0219	Magcargo	Magcargo	Lava Pokémon	ようがんポケモン	Lava Pokémon
0220	Swinub	Swinub	Pig Pokémon	いのぶたポケモン	Pig Boar Pokémon
0221	Piloswine	Piloswine	Swine Pokémon	いのししポケモン	Wild Boar Pokémon
0222	Corsola	Corsola	Coral Pokémon	さんごポケモン	Coral Pokémon
0223	Remoraid	Remoraid	Jet Pokémon	ふんしゃポケモン	Jet Pokémon
0224	Octillery	Octillery	Jet Pokémon	ふんしゃポケモン	Jet Pokémon
0225	Delibird	Delibird	Delivery Pokémon	はこびやポケモン	Courier Pokémon
0226	Mantine	Mantine	Kite Pokémon	カイトポケモン	Kite Pokémon
0227	Skarmory	Skarmory	Armor Bird Pokémon	よろいどりポケモン	Armor Bird Pokémon
0228	Houndour	Houndour	Dark Pokémon	ダークポケモン	Dark Pokémon
0229	Houndoom	Houndoom	Dark Pokémon	ダークポケモン	Dark Pokémon
0230	Kingdra	Kingdra	Dragon Pokémon	ドラゴンポケモン	Dragon Pokémon
0231	Phanpy	Phanpy	Long Nose Pokémon	ながはなポケモン	Long Nose Pokémon
0232	Donphan	Donphan	Armor Pokémon	よろいポケモン	Armor Pokémon
0233	Porygon2	Porygon2	Virtual Pokémon	バーチャルポケモン	Virtual Pokémon
0234	Stantler	Stantler	Big Horn Pokémon	おおツノポケモン	Big Horn Pokémon
0235	Smeargle	Smeargle	Painter Pokémon	えかきポケモン	Painter Pokémon
0236	Tyrogue	Tyrogue	Scuffle Pokémon	けんかポケモン	Scuffle Pokémon
0237	Hitmontop	Hitmontop	Handstand Pokémon	さかだちポケモン	Headstand Pokémon
0238	Smoochum	Smoochum	Kiss Pokémon	くちづけポケモン	Kiss Pokémon
0239	Elekid	Elekid	Electric Pokémon	でんきポケモン	Electric Pokémon
0240	Magby	Magby	Live Coal Pokémon	ひだねポケモン	Live Coal Pokémon
0241	Miltank	Miltank	Milk Cow Pokémon	ちちうしポケモン	Dairy Cow Pokémon
0242	Blissey	Blissey	Happiness Pokémon	しあわせポケモン	Happiness Pokémon
0243	Raikou	Raikou	Thunder Pokémon	いかずちポケモン	Thunder Pokémon
0244	Entei	Entei	Volcano Pokémon	かざんポケモン	Volcano Pokémon
0245	Suicune	Suicune	Aurora Pokémon	オーロラポケモン	Aurora Pokémon
0246	Larvitar	Larvitar	Rock Skin Pokémon	いわはだポケモン	Rock Skin Pokémon
0247	Pupitar	Pupitar	Hard Shell Pokémon	だんがんポケモン	Bullet Pokémon
0248	Tyranitar	Tyranitar	Armor Pokémon	よろいポケモン	Armor Pokémon
0249	Lugia	Lugia	Diving Pokémon	せんすいポケモン	Diving Pokémon
0250	Ho-Oh	Ho-Oh	Rainbow Pokémon	にじいろポケモン	Rainbow-Colored Pokémon
0251	Celebi	Celebi	Time Travel Pokémon	ときわたりポケモン	Time Traveling Pokémon
0252	Treecko	Treecko	Wood Gecko Pokémon	もりトカゲポケモン	Forest Lizard Pokémon
0253	Grovyle	Grovyle	Wood Gecko Pokémon	もりトカゲポケモン	Forest Lizard Pokémon
0254	Sceptile	Sceptile	Forest Pokémon	みつりんポケモン	Jungle Pokémon
0255	Torchic	Torchic	Chick Pokémon	ひよこポケモン	Chick Pokémon
0256	Combusken	Combusken	Young Fowl Pokémon	わかどりポケモン	Chicken Pokémon
0257	Blaziken	Blaziken	Blaze Pokémon	もうかポケモン	Raging Flames Pokémon
0258	Mudkip	Mudkip	Mud Fish Pokémon	ぬまうおポケモン	Swamp Fish Pokémon
0259	Marshtomp	Marshtomp	Mud Fish Pokémon	ぬまうおポケモン	Swamp Fish Pokémon
0260	Swampert	Swampert	Mud Fish Pokémon	ぬまうおポケモン	Swamp Fish Pokémon
0261	Poochyena	Poochyena	Bite Pokémon	かみつきポケモン	Bite Pokémon
0262	Mightyena	Mightyena	Bite Pokémon	かみつきポケモン	Bite Pokémon
0263	Zigzagoon	Zigzagoon	Tiny Raccoon Pokémon	まめだぬきポケモン	Tiny Raccoon Dog Pokémon
0264	Linoone	Linoone	Rushing Pokémon	とっしんポケモン	Rushing Pokémon
0265	Wurmple	Wurmple	Worm Pokémon	いもむしポケモン	Caterpillar Pokémon
0266	Silcoon	Silcoon	Cocoon Pokémon	さなぎポケモン	Chrysalis Pokémon
0267	Beautifly	Beautifly	Butterfly Pokémon	ちょうちょポケモン	Butterfly Pokémon
0268	Cascoon	Cascoon	Cocoon Pokémon	さなぎポケモン	Chrysalis Pokémon
0269	Dustox	Dustox	Poison Moth Pokémon	どくがポケモン	Poison Moth Pokémon
0270	Lotad	Lotad	Water Weed Pokémon	うきくさポケモン	Floating Weed Pokémon
0271	Lombre	Lombre	Jolly Pokémon	ようきポケモン	Cheerful Pokémon
0272	Ludicolo	Ludicolo	Carefree Pokémon	のうてんきポケモン	Optimistic Pokémon
0273	Seedot	Seedot	Acorn Pokémon	どんぐりポケモン	Acorn Pokémon
0274	Nuzleaf	Nuzleaf	Wily Pokémon	いじわるポケモン	Malicious Pokémon
0275	Shiftry	Shiftry	Wicked Pokémon	よこしまポケモン	Wicked Pokémon
0276	Taillow	Taillow	Tiny Swallow Pokémon	こツバメポケモン	Small Swallow Pokémon
0277	Swellow	Swellow	Swallow Pokémon	ツバメポケモン	Swallow Pokémon
0278	Wingull	Wingull	Seagull Pokémon	うみねこポケモン	Black-Tailed Gull Pokémon
0279	Pelipper	Pelipper	Water Bird Pokémon	みずどりポケモン	Waterfowl Pokémon
0280	Ralts	Ralts	Feeling Pokémon	きもちポケモン	Feeling Pokémon
0281	Kirlia	Kirlia	Emotion Pokémon	かんじょうポケモン	Emotion Pokémon
0282	Gardevoir	Gardevoir	Embrace Pokémon	ほうようポケモン	Embrace Pokémon
0283	Surskit	Surskit	Pond Skater Pokémon	あめんぼポケモン	Water Strider Pokémon
0284	Masquerain	Masquerain	Eyeball Pokémon	めだまポケモン	Eyeball Pokémon
0285	Shroomish	Shroomish	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0286	Breloom	Breloom	Mushroom Pokémon	きのこポケモン	Mushroom Pokémon
0287	Slakoth	Slakoth	Slacker Pokémon	なまけものポケモン	Sloth Pokémon
0288	Vigoroth	Vigoroth	Wild Monkey Pokémon	あばれザルポケモン	Rampaging Monkey Pokémon
0289	Slaking	Slaking	Lazy Pokémon	ものぐさポケモン	Lazy Pokémon
0290	Nincada	Nincada	Trainee Pokémon	したづみポケモン	Lowest-Class Pokémon
0291	Ninjask	Ninjask	Ninja Pokémon	しのびポケモン	Ninja Pokémon
0292	Shedinja	Shedinja	Shed Pokémon	ぬけがらポケモン	Husk Pokémon
0293	Whismur	Whismur	Whisper Pokémon	ささやきポケモン	Whisper Pokémon
0294	Loudred	Loudred	Big Voice Pokémon	おおごえポケモン	Large Voice Pokémon
0295	Exploud	Exploud	Loud Noise Pokémon	そうおんポケモン	Noise Pokémon
0296	Makuhita	Makuhita	Guts Pokémon	こんじょうポケモン	Guts Pokémon
0297	Hariyama	Hariyama	Arm Thrust Pokémon	つっぱりポケモン	Palm Thrust Pokémon
